Question #5,Response
Your feedback helps us to better ourselves daily. Any suggestions?,It's really a good thought to start a course in kannada. It helps lot of people.
Your feedback helps us to better ourselves daily. Any suggestions?,"Doing a great job,Plz continue it which helps many students."
Your feedback helps us to better ourselves daily. Any suggestions?,"Learning In Kannnada is a more effective way.
So keep doing these type of courses."
Your feedback helps us to better ourselves daily. Any suggestions?,Make more courses in Kannada
Your feedback helps us to better ourselves daily. Any suggestions?,please keep up the good work...all the best
Your feedback helps us to better ourselves daily. Any suggestions?,"Good experience 
And learning good"
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,Explaining in Kannada is understanding in good manner
Your feedback helps us to better ourselves daily. Any suggestions?,Thank you so much for this course. The concepts explained by the trainer was really good and clear. As it was in kannada it helped me in understanding the concept better.
Your feedback helps us to better ourselves daily. Any suggestions?,Good explanation.
Your feedback helps us to better ourselves daily. Any suggestions?,it was good
Your feedback helps us to better ourselves daily. Any suggestions?,You are giving examples for every concept which makes us learn faster. Excellent. Keep going
Your feedback helps us to better ourselves daily. Any suggestions?,Its good.
Your feedback helps us to better ourselves daily. Any suggestions?,very nice sessions
Your feedback helps us to better ourselves daily. Any suggestions?,So far everything went well.
Your feedback helps us to better ourselves daily. Any suggestions?,Good going
Your feedback helps us to better ourselves daily. Any suggestions?,good one
Your feedback helps us to better ourselves daily. Any suggestions?,I am experienced in front end development technology but still my basics was not that much good .But your tutorials are wonderful.Each and everything explained well.keep it your good work. I am waiting for more vedios from different technology.Thank you
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,The course is well explained.
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,Good Session
Your feedback helps us to better ourselves daily. Any suggestions?,Every thing is good enough
Your feedback helps us to better ourselves daily. Any suggestions?,No
Your feedback helps us to better ourselves daily. Any suggestions?,nil
Your feedback helps us to better ourselves daily. Any suggestions?,No
Your feedback helps us to better ourselves daily. Any suggestions?,"Please,, explain in detail. Don't neglect even it is a basic. Thank you 😊"
Your feedback helps us to better ourselves daily. Any suggestions?,Pretty good...
Your feedback helps us to better ourselves daily. Any suggestions?,can give some homework exercises
Your feedback helps us to better ourselves daily. Any suggestions?,Session was really helpful. Explanation was really good and it helped me to understand this course better. Thank you.
Your feedback helps us to better ourselves daily. Any suggestions?,Good
Your feedback helps us to better ourselves daily. Any suggestions?,it will more helpful
Your feedback helps us to better ourselves daily. Any suggestions?,Awsome...
Your feedback helps us to better ourselves daily. Any suggestions?,good one
Your feedback helps us to better ourselves daily. Any suggestions?,excellent.
Your feedback helps us to better ourselves daily. Any suggestions?,Keep teaching new things.
Your feedback helps us to better ourselves daily. Any suggestions?,good
Your feedback helps us to better ourselves daily. Any suggestions?,Good Session
