Question #5,Response,Sentiment Polarity,Sentiment Subjective
Your feedback helps us to better ourselves daily. Any suggestions?,It's really a good thought to start a course in kannada. It helps lot of people.,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,"Doing a great job,Plz continue it which helps many students.",0.65,0.625
Your feedback helps us to better ourselves daily. Any suggestions?,"Learning In Kannnada is a more effective way.
So keep doing these type of courses.",0.55,0.65
Your feedback helps us to better ourselves daily. Any suggestions?,Make more courses in Kannada,0.5,0.5
Your feedback helps us to better ourselves daily. Any suggestions?,please keep up the good work...all the best,0.85,0.45
Your feedback helps us to better ourselves daily. Any suggestions?,"Good experience 
And learning good",0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,good,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,Explaining in Kannada is understanding in good manner,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,Thank you so much for this course. The concepts explained by the trainer was really good and clear. As it was in kannada it helped me in understanding the concept better.,0.375,0.4208333333
Your feedback helps us to better ourselves daily. Any suggestions?,Good explanation.,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,it was good,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,You are giving examples for every concept which makes us learn faster. Excellent. Keep going,1,1
Your feedback helps us to better ourselves daily. Any suggestions?,Its good.,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,very nice sessions,0.78,1
Your feedback helps us to better ourselves daily. Any suggestions?,So far everything went well.,0.1,1
Your feedback helps us to better ourselves daily. Any suggestions?,Good going,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,good one,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,I am experienced in front end development technology but still my basics was not that much good .But your tutorials are wonderful.Each and everything explained well.keep it your good work. I am waiting for more vedios from different technology.Thank you,0.54,0.64
Your feedback helps us to better ourselves daily. Any suggestions?,good,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,The course is well explained.,0,0
Your feedback helps us to better ourselves daily. Any suggestions?,Good,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,Good Session,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,Every thing is good enough,0.35,0.55
Your feedback helps us to better ourselves daily. Any suggestions?,No,0,0
Your feedback helps us to better ourselves daily. Any suggestions?,nil,0,0
Your feedback helps us to better ourselves daily. Any suggestions?,No,0,0
Your feedback helps us to better ourselves daily. Any suggestions?,"Please,, explain in detail. Don't neglect even it is a basic. Thank you 😊",0,0.125
Your feedback helps us to better ourselves daily. Any suggestions?,Pretty good...,0.475,0.8
Your feedback helps us to better ourselves daily. Any suggestions?,can give some homework exercises,0,0
Your feedback helps us to better ourselves daily. Any suggestions?,Session was really helpful. Explanation was really good and it helped me to understand this course better. Thank you.,0.4666666667,0.4333333333
Your feedback helps us to better ourselves daily. Any suggestions?,Good,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,it will more helpful,0.5,0.5
Your feedback helps us to better ourselves daily. Any suggestions?,Awsome...,0,0
Your feedback helps us to better ourselves daily. Any suggestions?,good one,0.7,0.6
Your feedback helps us to better ourselves daily. Any suggestions?,excellent.,1,1
